champion,opponentChampion,kills,deaths,assists,win,killParticipation,csdiff14min,jungleCsdiff14,turretPlatesTaken,golddiff14min,xpDiff14,dmgChamps14,totalDmgChamps,teamDamagePercentage,visionScore,visionScorePerMinute,visionWardsBoughtInGame,controlWardsPlaced,wardTakedowns,wardsPlaced,completeSupportQuestInTime
Fiora,Kennen,8,5,6,1,46.66666666666666,-8,0,2,762,470,8441,17755,25.11973950960865,10,0.4712900306354317,0,0,1,6,0
Quinn,Jayce,10,6,10,1,55.55555555555556,36,4,2,2253,2760,7917,27043,25.427211121359345,20,0.8501941092700405,1,1,3,4,0
Camille,Nasus,3,10,3,0,19.35483870967742,-45,0,0,-2831,-2390,8173,17880,16.366741584025345,11,0.3880109442010021,0,0,1,5,0
Rumble,Gnar,5,3,7,1,41.37931034482759,47,0,2,1957,1568,8996,23605,26.168920073381496,16,0.6778004867384332,1,1,0,7,0
Fiora,Singed,1,6,6,0,33.33333333333333,35,0,2,975,633,5519,16463,21.71770720087937,15,0.5992501236203246,0,0,2,7,0
Varus,Singed,8,7,9,1,31.48148148148148,56,0,4,1897,2189,2942,33377,18.723858184064778,13,0.365386637211521,0,0,3,8,0
Fiora,Singed,10,0,1,1,55.00000000000001,19,4,7,3847,1838,9348,17475,29.560240611926517,7,0.3891040323572801,0,0,0,4,0
Fiora,Jayce,7,6,4,1,33.33333333333333,18,0,3,735,487,8456,20732,26.40949250178524,11,0.5451230234933825,0,0,3,4,0
Vayne,Kaisa,4,5,2,1,26.08695652173913,9,0,0,234,1017,8418,15410,27.75001136640008,10,0.5935692737091319,0,0,1,6,0
Kled,Quinn,11,3,8,1,52.77777777777778,-2,0,1,-521,26,7537,23455,23.73998519913778,14,0.5820989550128728,1,1,4,3,0
Renekton,Gangplank,6,6,5,1,36.66666666666666,-13,-4,4,-422,-1388,8340,17001,16.35879395799768,14,0.6101182025470997,1,1,0,7,0
Fiora,Camille,2,10,5,0,29.166666666666668,-3,0,0,-1564,-1269,7229,20401,20.4997753986681,16,0.5612086915836392,0,0,3,9,0
Fiora,Kennen,0,3,0,0,0.0,-38,0,0,-2360,-2736,3933,3970,14.994277587344188,5,0.3290793488974222,0,0,1,2,0
Fiora,Jax,4,4,2,0,23.07692307692308,7,-2,2,340,-597,8147,33105,25.25635621683048,36,0.9183597189124632,1,1,8,10,0
Jax,Nasus,7,4,6,1,50.0,-14,0,2,-1932,-2031,6493,15507,22.06914049901201,3,0.1883973296034588,0,0,0,4,0
Rumble,Jax,3,1,9,1,52.17391304347826,2,0,0,-82,194,4197,12815,21.594683111537407,18,0.9525260700491208,3,2,1,7,0
Rumble,Yone,4,4,11,1,32.608695652173914,-8,-4,0,-72,221,12096,21328,18.16369832860481,32,1.186554459561092,6,5,4,11,0
Renekton,Kennen,6,4,7,1,36.11111111111111,-38,2,0,-1267,-979,3286,15770,14.741078533851429,28,0.8831285352013697,7,6,1,11,0
Camille,Olaf,7,4,5,1,35.294117647058826,-11,0,0,-590,95,5850,15488,18.04826959022871,23,0.902184667444469,2,1,4,9,0
Renekton,KSante,6,3,8,1,51.85185185185185,37,0,6,4098,2456,12076,27280,29.644760252160623,19,0.828610189897964,2,1,2,4,0
Rumble,Yasuo,6,5,10,1,39.02439024390244,-4,0,2,1085,1248,8090,30607,25.737044244727382,22,0.7430870230978286,4,4,2,14,0
Rumble,Warwick,11,3,5,1,43.24324324324324,-2,0,0,-190,389,11349,21089,22.17952512210296,10,0.4493036238568976,1,0,0,6,0
Olaf,Ornn,8,2,6,1,66.66666666666666,20,0,3,1270,1022,5296,28921,32.55623789141733,25,0.8948750104994828,3,2,5,7,0
Kennen,Rumble,6,2,10,1,48.48484848484848,-24,3,2,-506,-614,4572,31433,25.18239819627687,27,0.8797677977207368,3,3,6,8,0
Rumble,Renekton,5,2,1,0,60.0,2,-2,1,644,680,8831,18338,28.92913715064053,16,0.6539363015658871,2,2,0,10,0
Rumble,Ornn,5,5,9,1,40.0,41,0,1,1297,971,10607,32650,21.546853810822533,26,0.8159605665833682,4,4,5,14,0
KSante,Kennen,4,0,2,1,35.294117647058826,35,0,3,2625,3194,6422,6489,18.46061813514956,15,1.0338626986242423,3,2,1,6,0
Camille,KSante,5,0,2,1,46.66666666666666,27,0,3,1714,1654,6445,10327,28.318525659667205,9,0.6303873975133556,2,1,0,5,0
Akali,Vayne,4,8,10,0,53.84615384615385,-55,0,1,-1418,-2150,6310,21754,24.90716304459685,7,0.2854733011597957,0,0,0,4,0
Ornn,Renekton,0,4,3,0,27.27272727272727,-32,-1,0,-1497,-1305,7765,15439,24.275027469457243,19,0.8707131979113456,2,2,3,8,0
Gwen,Aatrox,3,8,4,0,41.17647058823529,-1,0,5,445,53,9366,21455,28.226818228673228,20,0.7493064148487809,3,2,4,8,0
Renekton,Jayce,5,1,3,1,29.629629629629623,-8,0,1,1207,1020,6700,8743,18.03641206441238,14,0.8690581501192645,2,2,0,7,0
Irelia,Aurora,1,9,3,0,25.0,-3,0,0,-1346,-746,7215,16496,22.409413539646827,8,0.3175804052110921,0,0,1,4,0
Renekton,Nautilus,6,5,1,0,35.0,68,6,5,2764,1662,6913,16587,22.01785159600689,23,0.929465941339283,4,3,4,7,0
Ryze,Teemo,7,3,2,1,23.684210526315788,25,0,4,1456,1035,7937,13699,19.50511591976122,17,0.8832910601036067,2,2,1,7,0
Renekton,KSante,2,5,9,1,36.66666666666666,-16,0,0,-2735,-1406,7221,16017,17.979976309558467,14,0.5533998844875914,1,1,1,6,0
KSante,Rumble,6,3,11,1,43.58974358974359,-23,0,0,-1215,383,5565,19433,14.864150093394263,28,0.9367761244852876,7,5,5,10,0
Kennen,Aatrox,5,5,9,1,48.27586206896552,-7,0,1,-216,-410,8130,21172,21.82709144646809,13,0.5319865531418504,2,2,1,6,0
Ornn,Renekton,2,0,12,1,77.77777777777779,-18,0,1,184,669,10403,19997,30.04730117373536,20,0.8771721592780312,2,2,0,7,0
Malphite,Aatrox,2,1,7,1,64.28571428571429,-2,0,3,-54,568,3752,11311,18.74308487268641,26,1.0326128084516462,2,2,5,9,0
Olaf,Zeri,3,4,1,0,28.57142857142857,-34,-7,1,-2265,-1773,3313,9189,12.571053553130012,19,0.7791790714028977,2,2,2,7,0
Malphite,Jayce,3,4,12,0,57.692307692307686,-38,0,0,-2400,77,6566,19197,13.971488727361889,28,1.0191763952574813,4,2,5,7,0
Kennen,Rumble,1,3,1,0,13.333333333333334,0,0,1,-207,221,4675,7396,17.141166199666433,19,0.8562152921097484,2,2,4,7,0
Malphite,Gragas,5,2,1,1,26.08695652173913,-19,0,0,-458,-370,9511,13210,22.49931311462105,16,0.9438936334695172,4,4,3,9,0
Rumble,Akshan,4,1,1,1,22.727272727272727,4,2,3,483,707,4609,8465,13.215414608361865,28,1.126965855824774,2,2,1,9,0
Camille,Yasuo,6,5,2,0,53.333333333333336,-22,4,3,1766,-71,6076,14236,20.073388277580005,13,0.550558476929237,3,2,2,5,0
Rumble,Zeri,2,2,2,1,19.047619047619047,-6,2,1,-381,291,8445,8445,21.664847953695816,8,0.5394854266019259,1,1,0,6,0
Rumble,Ornn,8,8,11,1,45.23809523809524,3,0,1,911,266,9341,27917,20.15584295374728,23,0.8385535573804626,4,4,1,10,0
Renekton,Ornn,1,6,5,0,46.15384615384615,-2,0,2,-833,-820,6999,18829,15.655363647243426,30,0.9553828298683056,4,4,9,8,0
Ornn,Renekton,2,2,3,1,21.73913043478261,15,2,5,1110,858,10206,14815,21.80820011315218,13,0.608143276566705,2,1,1,5,0
Renekton,Varus,6,5,4,0,66.66666666666666,23,0,5,1863,2044,8448,12108,21.260881922370427,20,0.876110238619646,5,5,2,8,0
Malphite,Pantheon,3,1,3,1,31.57894736842105,-15,0,3,57,584,5237,6577,16.04859124422217,10,0.7138282197667963,1,1,1,7,0
Kennen,Aatrox,14,4,10,1,61.53846153846154,29,0,0,1380,712,9688,48805,36.81698471587501,37,1.1007578269260652,6,6,7,11,0
KSante,Jax,6,4,5,1,35.483870967741936,10,0,2,959,817,8205,20016,20.122143814014407,12,0.595944271487488,2,1,1,5,0
Kennen,Malphite,6,8,14,1,51.28205128205128,-32,0,0,-1173,-2027,6508,27299,20.34788701413102,25,0.8791641850716384,5,5,6,10,0
Varus,Kennen,3,8,10,1,32.5,-46,0,0,-2025,-1853,3079,15360,9.64788257636623,27,0.7203652579071897,6,5,5,16,0
Aatrox,Shen,4,5,14,1,62.06896551724138,18,0,3,-696,-252,8070,29689,25.2219447436188,29,1.0994681265285025,4,3,5,9,0
Olaf,Varus,8,5,6,1,60.86956521739131,-19,0,0,-58,-250,6387,16373,28.373895156944258,16,0.7846199952322116,4,3,0,7,0
Renekton,Gnar,2,3,6,1,27.58620689655172,-18,0,1,-519,-1198,6463,15511,12.86501468112558,13,0.5446024012038848,2,1,0,6,0
Irelia,Aatrox,1,7,3,0,36.36363636363637,24,0,1,-141,-545,3964,17050,19.29867395803445,17,0.6612165023297982,2,2,2,7,0
Nasus,Kennen,4,6,8,0,52.17391304347826,-15,0,0,-386,-536,6166,13335,14.441596075575028,29,0.869564021861755,4,4,6,8,0
Gwen,Shen,3,2,9,1,38.70967741935484,28,0,3,1055,704,7947,17253,21.314703780227237,15,0.756311905265774,3,2,3,6,0
Rumble,Ornn,3,4,4,1,28.000000000000004,17,2,1,471,590,9015,15001,19.44235984858265,15,0.704817127652001,5,5,1,10,0
Rumble,Vladimir,6,4,12,1,48.64864864864865,7,0,5,1379,1299,9275,27105,21.27462546337636,18,0.6655649819748406,4,3,0,11,0
Rumble,Varus,7,8,8,0,53.57142857142857,30,0,2,1497,1870,9603,28042,29.470344429083724,23,0.8717944910144778,4,4,2,9,0
Ornn,Renekton,2,2,14,1,51.61290322580645,-54,0,0,-2333,-1884,7367,17307,14.337140219695003,17,0.5864734367450674,3,3,1,9,0
Jax,Yone,4,4,0,0,57.14285714285714,23,0,3,500,722,5980,16027,35.7716809968365,16,0.7359533891817309,3,3,2,9,0
Kennen,Rumble,4,3,4,1,26.666666666666668,9,0,3,-790,383,3656,13368,17.782244799982884,23,0.9845543473820982,5,4,2,9,0
Rumble,Kennen,10,7,5,0,48.38709677419355,-3,2,0,1109,1609,9976,31674,29.500961092582845,28,0.8622352353754451,5,4,5,12,0
Kennen,Rumble,2,3,6,0,53.333333333333336,3,0,0,58,741,4506,14598,22.933136340237915,18,0.7660008641227818,1,1,3,6,0
Varus,Rumble,1,4,0,0,50.0,-22,0,1,-1363,-1139,5650,5650,23.247102377958388,6,0.4401981899201679,0,0,0,4,0
Rumble,Kennen,6,1,2,1,27.58620689655172,27,0,4,2717,2267,8560,9219,19.38817223775413,12,0.8360631277329132,3,2,0,7,0
Sylas,Gnar,5,3,10,1,38.46153846153847,-8,0,2,312,555,6594,24365,23.7472400712544,28,1.139873782491717,4,3,6,8,0
