champion,opponentChampion,kills,deaths,assists,win,killParticipation,csdiff14min,jungleCsdiff14,turretPlatesTaken,golddiff14min,xpDiff14,dmgChamps14,totalDmgChamps,teamDamagePercentage,visionScore,visionScorePerMinute,visionWardsBoughtInGame,controlWardsPlaced,wardTakedowns,wardsPlaced,completeSupportQuestInTime
Aatrox,Rumble,10,4,9,1,43.18181818181818,2,0,2,-75,913,3646,35755,24.69572464914373,36,1.0072256258169727,6,6,3,13,0
Gnar,Irelia,10,1,3,1,40.625,-10,0,3,1231,1199,10145,22637,35.82998539173473,14,0.8181454407386569,1,1,0,7,0
Yone,Jayce,1,7,0,0,9.090909090909092,-40,0,0,-3328,-2193,3839,5558,12.230656529051956,14,0.7352192587046611,1,1,1,7,0
Jax,Aatrox,0,3,2,0,22.22222222222222,-1,0,1,-107,-225,9684,9750,22.764722203985183,8,0.532526954854517,1,0,2,4,0
Rumble,Lulu,1,5,2,0,23.07692307692308,8,-4,1,-530,-208,4822,12724,20.23087046803925,20,0.8205261883336726,3,2,2,6,0
KSante,Rumble,6,6,10,0,55.172413793103445,-43,0,0,-1786,-1105,6704,29823,21.838684508888555,38,1.167760215576006,4,3,6,13,0
Rumble,Zac,1,4,0,0,12.5,6,0,1,269,-1229,9617,14820,32.356142090231074,13,0.792194415250995,1,1,2,6,0
Gnar,KSante,1,7,6,0,21.875,3,0,1,-366,-310,9527,23642,18.596502424178283,38,1.2540482012077123,3,3,5,14,0
Kennen,Ornn,1,3,1,0,66.66666666666666,25,0,2,750,808,7906,9655,36.0698566397229,11,0.7818058457418451,2,1,0,6,0
Gnar,Jayce,3,9,5,0,42.10526315789473,-33,0,2,-2230,-1045,6099,12989,20.368327507524736,13,0.5981489935840392,1,0,1,7,0
Aatrox,Gangplank,1,6,2,0,30.0,3,0,1,-276,196,8102,14970,26.623764025609592,18,0.8041325678784779,3,3,1,10,0
Malphite,Kennen,4,6,15,1,61.29032258064516,-37,0,0,-802,-1008,8984,20735,17.141269913232122,26,0.8963502827819443,5,5,3,10,0
Gragas,Jayce,2,7,8,0,43.47826086956522,-1,0,5,1909,1021,6894,16790,19.67276971199245,19,0.7208957427066341,2,1,4,6,0
Yone,Aatrox,0,5,2,0,25.0,-5,0,2,-1213,-849,5744,6656,19.819970142346875,6,0.3824981078322567,0,0,0,4,0
Aatrox,Camille,9,0,5,1,40.0,-3,0,5,2719,1082,11278,24454,26.400445094238652,18,0.8599271841297285,2,1,2,6,0
Rumble,Lulu,3,0,3,1,31.57894736842105,-24,2,3,148,-620,6125,7409,19.229910288031864,11,0.7657661087378239,1,1,1,6,0
Gnar,Renekton,1,5,0,0,16.666666666666664,-26,-4,2,-1456,-1893,10065,13877,38.78496034589366,11,0.7255100983145305,2,1,0,6,0
Gwen,Camille,8,4,1,0,42.85714285714285,34,0,4,2132,2204,10179,25711,33.33402671896322,33,1.2500835694193444,3,3,5,11,0
Gnar,Vayne,7,4,5,1,40.0,-14,0,3,10,-41,8132,17144,20.380328583804754,22,0.9866330265877504,2,2,3,9,0
Aatrox,DrMundo,7,3,2,1,27.27272727272727,0,0,2,146,-96,6336,28493,25.2189829005856,14,0.5905674212131848,2,2,0,9,0
Jax,Fiora,6,6,10,1,59.25925925925925,-16,2,5,645,203,10729,26993,24.630987718771483,23,0.8208569589682875,4,2,3,13,0
Vladimir,Poppy,6,4,11,1,65.38461538461539,29,0,7,1687,778,10830,35773,34.753193164545685,20,0.8013764446887033,3,3,3,9,0
Yone,Vladimir,7,3,4,1,35.483870967741936,43,2,5,3974,2477,10819,29226,26.97997003081163,31,1.1865313565744755,4,4,6,8,0
Yone,Jax,5,6,7,0,60.0,11,4,2,393,681,7485,24358,29.269011786397236,24,0.865519947279449,5,5,4,9,0
Yone,Jax,7,4,9,1,45.71428571428572,16,0,2,621,329,5991,31511,28.310101827258777,30,1.0915566020152991,5,3,3,9,0
KSante,Rumble,6,6,9,0,65.21739130434783,-14,0,1,194,-161,7406,24949,18.838349499776704,44,1.2182485319092573,9,7,7,13,0
Jax,Tryndamere,1,6,9,0,55.55555555555556,-35,0,0,-1035,-282,13960,30261,22.88540046800948,23,0.7620630306469671,8,7,1,15,0
Gwen,Renekton,3,6,1,0,36.36363636363637,-39,0,0,-2956,-2258,9888,14842,25.51049826979595,15,0.824434913682852,2,1,2,7,0
Jayce,Aatrox,6,2,9,1,41.66666666666667,40,0,5,2574,1447,8075,34119,25.62941153126399,14,0.484780410487785,1,1,0,10,0
Gnar,KSante,1,5,2,0,13.636363636363637,-4,0,1,-1179,-770,7049,13869,15.409270620884524,19,0.8238162496138226,4,2,1,7,0
Aatrox,Yone,11,6,6,0,50.0,44,-1,5,2804,2467,6732,35027,26.538379696561197,29,0.8930315115308112,4,4,3,10,0
Rumble,Smolder,10,1,9,1,65.51724137931035,8,0,5,2021,1828,8087,32812,30.52335781579913,9,0.3929825436203845,0,0,1,3,0
Gnar,KSante,1,2,2,0,42.85714285714285,9,0,3,-133,-120,9322,11070,29.405585660259455,19,1.2740831875537924,4,4,2,9,0
Renekton,Jayce,8,0,2,1,52.63157894736842,34,-4,8,3897,2591,7195,10311,26.442477726296342,9,0.6141984197302949,2,2,0,6,0
Jayce,Darius,10,3,16,1,70.27027027027027,12,4,5,1461,1020,10442,41572,33.95809388667126,26,0.9710265802812325,2,2,4,11,0
KSante,Renekton,4,0,5,1,29.03225806451613,5,0,1,45,568,9677,18532,20.78091602354624,11,0.5387200592053227,1,1,0,7,0
Kennen,Rumble,12,4,6,1,45.0,-7,0,1,667,657,10695,27783,28.260873711326788,23,0.9051700152864416,5,5,5,8,0
